County,AgeGroups,AgeGrpNo,Working,NoWork,OutsideLabourForce,NotStated,Rented,GovernmentNo,GovernmentPcnt,CountyGovNo,CountyGovPcnt,ParastatalNo,ParastatalPcnt,PrivateNo,PrivatePcnt,IndividualPcnt,IndividualNo,otherNo,OtherPcnt,Total,Conventional,GroupQuarters,OwnedNo,OwnedPcnt,RentedNo,RentedPcnt,NotStatedNo,NotStatedPcnt,Population,NoofHouseholds,AvgHouseholdsize
BARINGO,Not Stated,1,,,,1,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BARINGO,18 to 24,89419,45237,8182,35995,5,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BARINGO,5 to 14,200603,33289,,167302,12,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BARINGO,15 to 17,52610,9685,1630,41293,2,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BARINGO,25 to 34,86059,66535,10104,9410,10,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BARINGO,35 to 64,113679,97729,7919,8022,9,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BARINGO,65 plus,25599,21028,769,3798,4,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BARINGO,Total,567970,273503,28604,265820,43,28282,1574,5.6,334,1.2,367,1.3,836,3,24892,88,279,1,142518,141877,641,113578,80.0999999999999,28282,19.9,17,0,662760,142518,47
BOMET,18 to 24,119220,59234,4876,55099,11,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BOMET,35 to 64,158008,149701,3801,4483,23,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BOMET,25 to 34,128309,112525,7011,8765,8,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BOMET,5 to 14,253691,5838,,247839,14,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BOMET,Total,762274,362007,16249,383946,72,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BOMET,Not Stated,3,,,,3,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BOMET,65 plus,31710,29537,229,1940,4,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BOMET,15 to 17,71333,5172,332,65820,9,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1,187641,187230,411,155576,83.0999999999999,31630,16.9,24,0,873023,187641,47
BUNGOMA,5 to 14,519430,24720,,494670,40,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUNGOMA,Total,1445146,629607,40627,774779,133,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUNGOMA,15 to 17,142634,13148,1119,128357,10,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUNGOMA,25 to 34,210584,173009,15779,21777,19,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUNGOMA,18 to 24,211244,96573,9852,104801,18,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUNGOMA,65 plus,59906,51323,984,7592,7,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUNGOMA,Not Stated,7,,,,7,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUNGOMA,35 to 64,301341,270834,12893,17582,32,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8,358796,357714,1082,293353,82,64317,18,44,0,1663898,358796,46
BUSIA,5 to 14,265692,11986,,253698,8,10472,362,3.5,258,2.5,143,1.4,267,2.5,9423,90,19,0.2,198152,197944,208,161775,81.7,36137,18.3,32,0,886856,198152,45
BUSIA,25 to 34,111989,93410,8309,10265,5,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7,33160,33152,8,22664,68.4,10472,31.6,16,0,886856,198152,45
BUSIA,35 to 64,165420,149656,6895,8839,30,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7,33160,33152,8,22664,68.4,10472,31.6,16,0,886856,198152,45
BUSIA,18 to 24,116592,56026,5955,54603,8,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7,33160,33152,8,22664,68.4,10472,31.6,16,0,886856,198152,45
BUSIA,15 to 17,75992,8468,603,66918,3,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7,33160,33152,8,22664,68.4,10472,31.6,16,0,886856,198152,45
BUSIA,65 plus,38166,31861,563,5735,7,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7,33160,33152,8,22664,68.4,10472,31.6,16,0,886856,198152,45
BUSIA,Total,773860,351407,22325,400058,70,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7,33160,33152,8,22664,68.4,10472,31.6,16,0,886856,198152,45
BUSIA,Not Stated,9,,,,9,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7,33160,33152,8,22664,68.4,10472,31.6,16,0,886856,198152,45
ELGEYO/MARAKWET,18 to 24,62140,28457,3931,29740,12,17868,716,4,151,0.8,119,0.7,549,3.1,16129,90.3,204,1.1,99861,99119,742,81228,81.9,17868,18,23,0,,,
ELGEYO/MARAKWET,65 plus,19191,15497,484,3205,5,17868,716,4,151,0.8,119,0.7,549,3.1,16129,90.3,204,1.1,99861,99119,742,81228,81.9,17868,18,23,0,,,
ELGEYO/MARAKWET,5 to 14,130209,4162,,126029,18,17868,716,4,151,0.8,119,0.7,549,3.1,16129,90.3,204,1.1,99861,99119,742,81228,81.9,17868,18,23,0,,,
ELGEYO/MARAKWET,25 to 34,61557,49081,6055,6414,7,17868,716,4,151,0.8,119,0.7,549,3.1,16129,90.3,204,1.1,99861,99119,742,81228,81.9,17868,18,23,0,,,
ELGEYO/MARAKWET,15 to 17,35643,2684,306,32652,1,17868,716,4,151,0.8,119,0.7,549,3.1,16129,90.3,204,1.1,99861,99119,742,81228,81.9,17868,18,23,0,,,
ELGEYO/MARAKWET,Total,392505,172899,15407,204139,60,17868,716,4,151,0.8,119,0.7,549,3.1,16129,90.3,204,1.1,99861,99119,742,81228,81.9,17868,18,23,0,,,
