County / Sub-county,"Rented/
Provided",Government,,County Government,,Parastatal,,Private company,,Individual,,"FBO/NGO/ Church/
Temple/Mosque",
,,Number,per cent,Number,per cent,Number,per cent,Number,per cent,Number,per cent,Number,per cent
KENYA,"4,660,027","107,462",2.3,"64,836",1.4,"47,904",1.0,"278,613",6.0,"4,123,599",88.5,"37,613",0.8
Rural,"990,602","26,423",2.7,"10,848",1.1,"12,645",1.3,"72,747",7.3,"846,343",85.4,"21,596",2.2
Urban,"3,669,425","81,039",2.2,"53,988",1.5,"35,259",1.0,"205,866",5.6,"3,277,256",89.3,"16,017",0.4
MOMBASA,"297,830","5,649",1.9,"6,056",2.0,"4,034",1.4,"16,131",5.4,"265,188",89.0,772,0.3
CHANGAMWE,"41,903",837,2.0,995,2.4,849,2.0,"2,301",5.5,"36,843",87.9,78,0.2
JOMVU,"39,185",127,0.3,219,0.6,302,0.8,610,1.6,"37,883",96.7,44,0.1
KISAUNI,"62,711",662,1.1,"1,009",1.6,479,0.8,"4,723",7.5,"55,756",88.9,82,0.1
LIKONI,"62,586",917,1.5,"1,908",3.0,570,0.9,988,1.6,"58,111",92.8,92,0.1
MVITA,"32,172","2,931",9.1,"1,374",4.3,"1,577",4.9,"3,028",9.4,"22,873",71.1,389,1.2
NYALI,"59,273",175,0.3,551,0.9,257,0.4,"4,481",7.6,"53,722",90.6,87,0.1
KWALE,"39,612",849,2.1,489,1.2,265,0.7,"1,578",4.0,"36,170",91.3,261,0.7
KINANGO,"1,359",62,4.6,44,3.2,10,0.7,6,0.4,"1,213",89.3,24,1.8
LUNGALUNGA,"3,973",91,2.3,28,0.7,84,2.1,70,1.8,"3,655",92.0,45,1.1
MATUGA,"6,374",403,6.3,112,1.8,89,1.4,213,3.3,"5,483",86.0,74,1.2
MSAMBWENI,"22,098",172,0.8,153,0.7,62,0.3,890,4.0,"20,756",93.9,65,0.3
SAMBURU,"5,808",121,2.1,152,2.6,20,0.3,399,6.9,"5,063",87.2,53,0.9
KILIFI,"98,466","1,965",2.0,"1,015",1.0,768,0.8,"5,410",5.5,"88,782",90.2,526,0.5
CHONYI,318,18,5.7,4,1.3,1,0.3,9,2.8,280,88.1,6,1.9
GANZE,"1,538",59,3.8,27,1.8,9,0.6,22,1.4,"1,398",90.9,23,1.5
KALOLENI,"8,693",781,9.0,110,1.3,41,0.5,346,4.0,"7,377",84.9,38,0.4
KAUMA,168,11,6.5,4,2.4,17,10.1,35,20.8,99,58.9,2,1.2
KILIFI NORTH,"16,361",401,2.5,67,0.4,74,0.5,676,4.1,"15,090",92.2,53,0.3
KILIFI SOUTH,"29,620",97,0.3,260,0.9,185,0.6,"2,758",9.3,"26,238",88.6,82,0.3
MAGARINI,"4,314",92,2.1,31,0.7,14,0.3,189,4.4,"3,875",89.8,113,2.6
MALINDI,"31,563",451,1.4,457,1.4,362,1.1,"1,213",3.8,"28,908",91.6,172,0.5
RABAI,"5,891",55,0.9,55,0.9,65,1.1,162,2.7,"5,517",93.7,37,0.6
TANA RIVER,"14,383",691,4.8,502,3.5,407,2.8,521,3.6,"12,057",83.8,205,1.4
TANA DELTA,"2,744",162,5.9,81,3.0,39,1.4,19,0.7,"2,325",84.7,118,4.3
TANA NORTH,"7,865",192,2.4,329,4.2,329,4.2,420,5.3,"6,559",83.4,36,0.5
TANA RIVER,"3,774",337,8.9,92,2.4,39,1.0,82,2.2,"3,173",84.1,51,1.4
LAMU,"10,981",536,4.9,63,0.6,24,0.2,260,2.4,"9,929",90.4,169,1.5
LAMU EAST,"1,187",83,7.0,9,0.8,5,0.4,3,0.3,"1,080",91.0,7,0.6
LAMU WEST,"9,794",453,4.6,54,0.6,19,0.2,257,2.6,"8,849",90.4,162,1.7
TAITA/TAVETA,"31,754","1,341",4.2,152,0.5,687,2.2,"2,094",6.6,"27,085",85.3,395,1.2
MWATATE,"6,248",84,1.3,16,0.3,33,0.5,"1,285",20.6,"4,701",75.2,129,2.1
TAITA,"2,517",366,14.5,37,1.5,11,0.4,58,2.3,"1,962",77.9,83,3.3
TAVETA,"8,053",513,6.4,67,0.8,124,1.5,455,5.7,"6,832",84.8,62,0.8
VOI,"14,936",378,2.5,32,0.2,519,3.5,296,2.0,"13,590",91.0,121,0.8
GARISSA,"17,450","1,090",6.2,947,5.4,432,2.5,866,5.0,"13,028",74.7,"1,087",6.2
BALAMBALA,71,33,46.5,7,9.9,,,6,8.5,24,33.8,1,1.4
DADAAB,"2,048",192,9.4,123,6.0,43,2.1,87,4.2,771,37.6,832,40.6
FAFI,"1,047",111,10.6,58,5.5,66,6.3,68,6.5,551,52.6,193,18.4
GARISSA,"11,892",621,5.2,576,4.8,257,2.2,621,5.2,"9,782",82.3,35,0.3
HULUGHO,318,5,1.6,14,4.4,16,5.0,12,3.8,262,82.4,9,2.8
IJARA,"1,714",32,1.9,153,8.9,44,2.6,62,3.6,"1,411",82.3,12,0.7
LAGDERA,360,96,26.7,16,4.4,6,1.7,10,2.8,227,63.1,5,1.4
WAJIR,"6,503",668,10.3,406,6.2,102,1.6,413,6.4,"4,867",74.8,47,0.7
BUNA,153,11,7.2,14,9.2,4,2.6,10,6.5,111,72.5,3,2.0
ELDAS,151,11,7.3,9,6.0,7,4.6,39,25.8,82,54.3,3,2.0
HABASWEIN,"1,293",83,6.4,46,3.6,38,2.9,99,7.7,"1,014",78.4,13,1.0
TARBAJ,102,21,20.6,3,2.9,4,3.9,9,8.8,64,62.7,1,1.0
WAJIR EAST,"3,285",362,11.0,243,7.4,37,1.1,212,6.5,"2,413",73.5,18,0.5
WAJIR NORTH,623,94,15.1,31,5.0,1,0.2,8,1.3,482,77.4,7,1.1
WAJIR SOUTH,351,24,6.8,47,13.4,8,2.3,13,3.7,257,73.2,2,0.6
WAJIR WEST,545,62,11.4,13,2.4,3,0.6,23,4.2,444,81.5,,
MANDERA,"9,410",387,4.1,434,4.6,261,2.8,461,4.9,"7,774",82.6,93,1.0
MANDERA WEST,718,6,0.8,14,1.9,19,2.6,40,5.6,622,86.6,17,2.4
BANISA,386,9,2.3,36,9.3,7,1.8,19,4.9,312,80.8,3,0.8
KOTULO,325,15,4.6,36,11.1,15,4.6,28,8.6,230,70.8,1,0.3
LAFEY,314,12,3.8,11,3.5,8,2.5,6,1.9,220,70.1,57,18.2
MANDERA CENTRAL,"1,451",13,0.9,59,4.1,16,1.1,124,8.5,"1,233",85.0,6,0.4
MANDERA EAST,"5,524",204,3.7,248,4.5,192,3.5,234,4.2,"4,642",84.0,4,0.1
MANDERA NORTH,692,128,18.5,30,4.3,4,0.6,10,1.4,515,74.4,5,0.7
MARSABIT,"10,561",572,5.4,169,1.6,90,0.9,256,2.4,"9,329",88.3,145,1.4
LOIYANGALANI,270,42,15.6,57,21.1,,,9,3.3,151,55.9,11,4.1
MARSABIT CENTRAL,"4,776",157,3.3,32,0.7,18,0.4,136,2.8,"4,392",92.0,41,0.9
MARSABIT NORTH,130,17,13.1,4,3.1,,,5,3.8,89,68.5,15,11.5
MARSABIT SOUTH,409,69,16.9,29,7.1,3,0.7,17,4.2,244,59.7,47,11.5
MOYALE,"4,194",260,6.2,39,0.9,49,1.2,74,1.8,"3,753",89.5,19,0.5
NORTH HORR,114,24,21.1,1,0.9,18,15.8,,,67,58.8,4,3.5
SOLOLO,668,3,0.4,7,1.0,2,0.3,15,2.2,633,94.8,8,1.2
ISIOLO,"14,918",794,5.3,198,1.3,115,0.8,344,2.3,"13,317",89.3,150,1.0
GARBATULLA,"1,592",118,7.4,68,4.3,4,0.3,13,0.8,"1,366",85.8,23,1.4
ISIOLO,"12,934",624,4.8,127,1.0,111,0.9,328,2.5,"11,620",89.8,124,1.0
MERTI,392,52,13.3,3,0.8,,,3,0.8,331,84.4,3,0.8
MERU,"109,916","1,698",1.5,847,0.8,597,0.5,"2,596",2.4,"103,275",94.0,903,0.8
BUURI EAST,"5,986",64,1.1,65,1.1,8,0.1,128,2.1,"5,667",94.7,54,0.9
BUURI WEST,"14,685",112,0.8,93,0.6,20,0.1,981,6.7,"13,382",91.1,97,0.7
IGEMBE CENTRAL,"9,624",85,0.9,18,0.2,14,0.1,106,1.1,"9,337",97.0,64,0.7
IGEMBE NORTH,"7,158",91,1.3,96,1.3,52,0.7,102,1.4,"6,769",94.6,48,0.7
IGEMBE SOUTH,"13,507",143,1.1,121,0.9,221,1.6,316,2.3,"12,633",93.5,73,0.5
IMENTI NORTH,"27,198",562,2.1,187,0.7,34,0.1,365,1.3,"25,844",95.0,206,0.8
IMENTI SOUTH,"17,221",253,1.5,174,1.0,57,0.3,295,1.7,"16,254",94.4,188,1.1
MERU CENTRAL,"6,436",118,1.8,19,0.3,31,0.5,126,2.0,"6,088",94.6,54,0.8
TIGANIA CENTRAL,"2,767",60,2.2,24,0.9,71,2.6,86,3.1,"2,515",90.9,11,0.4
TIGANIA EAST,"1,900",75,3.9,8,0.4,14,0.7,26,1.4,"1,689",88.9,88,4.6
